53,69.4,89,94,63.5,76.2,76.2
,69.2,88.9,93.98,63.5,76.2,76.2
,68.58,88.9,93.98,62.865,76.2,76.2
,68,88.9,93.98,59.69,76.2,76.2
,67.564,87,93.98,59.69,76.2,73.66
,67.31,86.36,93.98,58.42,76.2,73.66
,67,86,93.5,58.42,76.2,73.66
,65.5,83.82,93,58.42,76.2,73.66
,65,81.28,92.71,57.15,76.2,73.66
,62.5,81.28,91.5,50,76.2,73.66
,62.23,81.28,91.5,72,76.2,73.66
,62,81,91.44,85,76.2,71.12
,61,81,91.44,71,73.66,71.12
,61,80,91.44,72,73.66,71.12
,60.96,80,91.44,74,73.66,71.12
,60.96,80,91,84,73.66,71.12
,60.96,80,90,78,73.66,71.12
,60.96,80,88.9,107,73.66,71.12
,58.42,78.74,88.9,77,73.66,71.12
,58,78.74,88.9,84,73.66,71.12
,58,77,88.9,79,73.66,71.12
,57.5,76.2,88.9,76,73.66,68.58
,57.15,76.2,88.9,79,73.66,66.04
,56.5,76.2,88.8,78,73.66,66.04
,56,76.2,87,114,73.66,66.04
,56,76,86.5,99,73.66,66.04
,55.88,76,86.5,43,72.39,63.5
,55.88,76,86.5,34,72.39,63.5
,55.88,74,86.36,,71.12,63.5
,55.88,73.66,86.36,,71.12,63.5
,55.5,73.66,86.36,,71.12,60.96
,54.61,73.66,86.36,,71.12,60.96
,54.61,73.66,86.36,,71.12,60.96
,53.5,73.66,86,,71.12,58.42
,53.34,72,85,,71.12,58.42
,53.34,72,83.82,,71.12,55.88
,53.34,71.12,83.82,,71.12,55.88
,53,71,83.82,,71,53.34
,52,70,83.5,,71,53.34
,51,70,83,,69.85,53.34
,50.8,70,82,,68.58,50.8
,50.8,70,81.28,,68.58,50.8
,50.5,70,81.28,,68.58,50.8
,49,70,81.28,,68.58,45.72
,49,70,81.28,,68.58,45.72
,48.26,69.85,81.28,,68.58,45.72
,46.99,69.5,81.28,,68.58,43.18
,46,68.58,81.28,,68.58,43.18
,43,68.58,81.28,,68.58,43.18
,41,68.5,81,,68.58,40.64
,40,68,80,,68.58,40.64
,,68,79.8,,68.58,38.1
,,67,79.6,,68.58,38.1
,,66.5,78.74,,67.31,35.56
,,66.04,78.74,,67,30.48
,,66.04,78.74,,67,27.94
,,66,78.74,,66.04,
,,66,78.74,,66.04,
,,65.5,78,,66.04,
,,65,78,,66.04,
,,65,77.47,,66.04,
,,65,77.47,,66.04,
,,65,76.5,,66,
,,64,76.2,,66,
,,64,76.2,,63.5,
,,64,76.2,,63.5,
,,63.5,76.2,,63.5,
,,63,76.2,,63.5,
,,62,76.2,,63.5,
,,62,76.2,,63.5,
,,61,75.5,,63.5,
,,60.96,74.93,,62.5,
,,60.96,73.66,,62.23,
,,60.96,73.66,,62.23,
,,60.96,73.66,,62.23,
,,60.5,73,,62,
,,60,73,,62,
,,60,72.2,,62,
,,60,71.12,,60.96,
,,60,71.12,,60.96,
,,59.5,71.12,,60.96,
,,59,71.12,,60.96,
,,58,71.12,,60.96,
,,58,71,,60.96,
,,58,70,,60.96,
,,58,70,,60.96,
,,57,69.85,,60.96,
,,57,69.85,,60.96,
,,56,69.85,,60.96,
,,55.88,69.5,,60.96,
,,55.88,69.3,,60.96,
,,55,69.215,,60.96,
,,55,69,,60.96,
,,55,69,,59,
,,55,69,,58.42,
,,55,68.58,,58.42,
,,54.61,68.58,,58.42,
,,53.34,68.58,,58.42,
,,53,68.58,,55.88,
,,52,68.58,,55.88,
,,52,68.58,,55.88,
,,50.8,68.58,,55.88,
,,50,68.58,,55.88,
,,50,68.58,,55.88,
,,50,68.5,,55.88,
,,45,66.04,,55.88,
,,42,66.04,,53.34,
,,42,66.04,,53.34,
,,,66.04,,53.34,
,,,66.04,,53.34,
,,,66.04,,49.53,
,,,66.04,,49.53,
,,,66.04,,48.26,
