river,year,MK,LInf,SL50,SL95,FM,SPR,SL50.Var,SL95.Var,FM.Var,SPR.Var
delger,2017,1.7919476257846427,165.34975550004108,60.05,65.56,5.31,0.08345030835523029,0.6810025148420544,2.1267304716185302,0.6766858265631976,7.54045782290258e-5
delger,2018,1.7919476257846427,165.34975550004108,59.75,69.41,2.74,0.1383822794586311,3.191633365125289,10.517851675713375,0.2658234004823463,4.869376608335037e-4
delger,2022,1.7919476257846427,165.34975550004108,70.75,87.1,3.52,0.1619327771971769,6.130939077875867,16.07351323387861,0.47370452153867415,4.514883113218048e-4
delger,2015,1.8183399933939122,134.77955963602616,64.54,87.38,2.33,0.23125836795493326,50.64139434026196,121.62000828586679,1.0580164952537576,0.005360001897624092
delger,2016,1.8183399933939122,134.77955963602616,56.31,67.12,1.05,0.3447938170322485,2.685652805814002,8.497076263130392,0.05921854698200941,0.0030605590196969823
delger,2017,1.8183399933939122,134.77955963602616,60.03,65.5,3.34,0.17040352964508704,0.7040347273649687,2.1541878875893206,0.3356006211397098,3.1142027107563993e-4
delger,2018,1.8183399933939122,134.77955963602616,59.38,68.68,1.48,0.2889973495949814,3.2907892591945753,10.546205278348548,0.11905110315280067,0.0020815627571843
delger,2022,1.8183399933939122,134.77955963602616,70.27,86.07,1.89,0.32586101809619783,6.415917626991513,16.274392244774045,0.19546506427254418,0.0015891068168653914
delger,2015,1.6489289405147805,174.698723843232,66.37,91.02,5.41,0.07814124867930358,74.8432017166213,176.18648642318692,6.040544269796322,0.0012190493684676386
delger,2016,1.6489289405147805,174.698723843232,56.73,67.93,2.68,0.11565398143512454,2.611764964534746,8.917819086996612,0.18411763552024052,3.5707497164284206e-4
delger,2017,1.6489289405147805,174.698723843232,60.05,65.57,6.48,0.06015419960211343,0.6755197072569618,2.125072943551718,0.9442080392375706,3.9777590996578894e-5
delger,2018,1.6489289405147805,174.698723843232,59.8,69.56,3.46,0.09944113118033951,3.1630512302327607,10.557461432246045,0.37774614373597537,2.5549200926576655e-4
delger,2022,1.6489289405147805,174.698723843232,70.81,87.34,4.43,0.11803660481461342,6.094636218036169,16.21592864864482,0.6870931763420823,2.5538891713159176e-4
delger,2015,1.674270011200195,169.6862823154692,66.19,90.66,4.96,0.08924332728904574,72.15734445337273,170.3016728286707,5.010787777755856,0.001486926412424715
delger,2016,1.674270011200195,169.6862823154692,56.7,67.86,2.45,0.13209363020589984,2.615511157807286,8.872582546378881,0.16194476380881462,4.6317256113565815e-4
delger,2017,1.674270011200195,169.6862823154692,60.05,65.57,6.03,0.06843215940684089,0.6777737340083566,2.127207549385254,0.8371251406318864,5.129172651219473e-5
delger,2018,1.674270011200195,169.6862823154692,59.77,69.48,3.18,0.11332675359136031,3.1734157328960744,10.551716537635762,0.3317868802686428,3.301209958398741e-4
delger,2022,1.674270011200195,169.6862823154692,70.77,87.24,4.07,0.133950310712388,6.120089047950013,16.214402213076824,0.5982631346459917,3.222597566614152e-4
delger,2015,1.5231159282221665,138.07567628124468,64.9,88.59,3.23,0.16769996090735073,58.10928363968539,141.46829040982178,1.9626617677735931,0.0035976634040998726
delger,2016,1.5231159282221665,138.07567628124468,56.26,67.2,1.54,0.2497966887631354,2.6604935654542192,8.666390759130564,0.09155307555320516,0.0016286383426643394
