linf,k,m,pop,species
142.6176785871056,0.089832792428671,0.11694977565595628,tugur,Hucho taimen
141.40556880738373,0.08182943698597406,0.17107912293062022,tugur,Hucho taimen
136.78649402981088,0.09010367020340108,0.1794075038107623,tugur,Hucho taimen
136.74486822154944,0.09016328875056828,0.1542463296152324,tugur,Hucho taimen
136.2454132434518,0.09919637706174662,0.18056815280582464,tugur,Hucho taimen
135.42592508245724,0.08725747741725323,0.18347812361822124,tugur,Hucho taimen
136.4560308382624,0.08485730604678521,0.1375206606632967,tugur,Hucho taimen
135.36625702776496,0.08399389866254611,0.13346967025572168,tugur,Hucho taimen
131.69933141915027,0.08529173747872709,0.1480726013711258,tugur,Hucho taimen
137.9201262826688,0.08470440370681281,0.10365257089563988,tugur,Hucho taimen
138.42543006596102,0.08485605035581917,0.19877560813567444,tugur,Hucho taimen
147.9246390648283,0.07955423726574194,0.14672642789693488,tugur,Hucho taimen
151.70126849591762,0.08002362235054643,0.09896191362577811,tugur,Hucho taimen
126.91982814513564,0.09837396469489484,0.16596134048882896,tugur,Hucho taimen
127.14609647918076,0.09799114361411929,0.18612440758677723,tugur,Hucho taimen
135.25969642495878,0.09429392961503552,0.1554477725969387,tugur,Hucho taimen
134.65021175847446,0.09279512887777124,0.13447603561254975,tugur,Hucho taimen
133.678094675647,0.0937657575098993,0.18080506187069628,tugur,Hucho taimen
134.0522240860835,0.0958921577492781,0.17803746507973772,tugur,Hucho taimen
136.31047815832346,0.0961833651592732,0.13936233784073065,tugur,Hucho taimen
133.7067076845264,0.08677517865898943,0.19408595653993607,tugur,Hucho taimen
127.44170209280136,0.10745845122127291,0.14936293680285737,tugur,Hucho taimen
132.09757268555882,0.10727651584527026,0.11831620061137207,tugur,Hucho taimen
131.73498555473392,0.09588187770885652,0.1972401351249543,tugur,Hucho taimen
139.14580260712177,0.08333211480520664,0.13846006515301013,tugur,Hucho taimen
140.34339421381472,0.090296928397125,0.16381786769856901,tugur,Hucho taimen
140.65437505324667,0.08798872344777171,0.16330908806292088,tugur,Hucho taimen
135.07569844353992,0.09291647815943271,0.1473504745325103,tugur,Hucho taimen
134.13741372330242,0.09285229906461429,0.13872317973844217,tugur,Hucho taimen
140.4036085316501,0.0835551369882779,0.1300096717334271,tugur,Hucho taimen
140.2126099149557,0.08610659262785011,0.13608621071661015,tugur,Hucho taimen
145.94134048683136,0.07920785415923895,0.13237743996844867,tugur,Hucho taimen
141.39838031368242,0.07352884217352808,0.14923422902415412,tugur,Hucho taimen
125.56193761824834,0.09828492900540464,0.1652342696266721,tugur,Hucho taimen
129.50986954362037,0.0961303443227469,0.1133833051006005,tugur,Hucho taimen
142.7336970330733,0.07984585133598295,0.18782363070991923,tugur,Hucho taimen
142.1317519349439,0.0879173510426836,0.22885485033699995,tugur,Hucho taimen
142.2098298266563,0.08796863091056237,0.14523743435797748,tugur,Hucho taimen
139.2015540381612,0.0864507011927599,0.14496206290073665,tugur,Hucho taimen
133.23471838816846,0.09328369359704,0.1339852694653263,tugur,Hucho taimen
137.01916284652577,0.08780558586742002,0.14432952128746065,tugur,Hucho taimen
137.33870332603598,0.08911787989697338,0.17875183421530758,tugur,Hucho taimen
134.91809187543203,0.09118628552973836,0.12748195243803018,tugur,Hucho taimen
132.2508983476244,0.08671371033768323,0.16194438759156687,tugur,Hucho taimen
133.30472834461025,0.0879168115328524,0.20536640260994432,tugur,Hucho taimen
132.45935484976852,0.08654607496559769,0.17681892294646076,tugur,Hucho taimen
142.93513662297204,0.0888360965128889,0.18038074679637014,tugur,Hucho taimen
138.1475510248559,0.0829210358512371,0.19127683763398445,tugur,Hucho taimen
139.35479941391162,0.09001026578470887,0.14844813223913747,tugur,Hucho taimen
137.74108794003297,0.09484241920824488,0.10668137303323849,tugur,Hucho taimen
134.7701317843602,0.09003306695731712,0.14770971037172453,tugur,Hucho taimen
137.46944040719364,0.09263220043640584,0.17861352866714383,tugur,Hucho taimen
137.90564253492272,0.08853406829281307,0.13235147825480456,tugur,Hucho taimen
141.08306076046327,0.08144552962043916,0.16598895362407634,tugur,Hucho taimen
142.71337455281372,0.0828005033794276,0.19181551082043538,tugur,Hucho taimen
139.75404854845146,0.0812874333902043,0.13651658146946574,tugur,Hucho taimen
141.7457422487315,0.09121780235780048,0.15958157068981038,tugur,Hucho taimen
139.26457657580562,0.0901344021527498,0.15506103676380908,tugur,Hucho taimen
140.02472259504373,0.08685656609693052,0.14349754399255868,tugur,Hucho taimen
140.88708466240635,0.08414369065061429,0.12023390573722863,tugur,Hucho taimen
138.35091342068097,0.08896584715472504,0.13582368848978393,tugur,Hucho taimen
140.60075879707432,0.08640776809212898,0.11414940774828645,tugur,Hucho taimen
135.63027011292615,0.08945807366234929,0.16250636707655017,tugur,Hucho taimen
137.01014096514044,0.08400603222433264,0.21657577085983368,tugur,Hucho taimen
131.9804754286661,0.08896883757952384,0.16281147303421478,tugur,Hucho taimen
141.03374701436985,0.08338411754921145,0.130561156218255,tugur,Hucho taimen
126.28296774765248,0.1049423717570433,0.15998138168216494,tugur,Hucho taimen
137.81244057998956,0.09685269561159608,0.18154833889361452,tugur,Hucho taimen
122.14216549384446,0.09579183899494594,0.12065574352026806,tugur,Hucho taimen
136.98287955365268,0.08921206641296169,0.12980785163468106,tugur,Hucho taimen
139.21861110019233,0.08611988599380033,0.1246252889924837,tugur,Hucho taimen
137.02165914943453,0.08981720109014911,0.19386418364845506,tugur,Hucho taimen
137.7688420632698,0.09475476352467824,0.16909686627417578,tugur,Hucho taimen
133.9906917400575,0.09221039375883404,0.15581077448391745,tugur,Hucho taimen
134.45286144950256,0.09923988048003968,0.13499980722023297,tugur,Hucho taimen
135.21072140764684,0.08514249918464109,0.1360007118372043,tugur,Hucho taimen
134.31320706930015,0.08481907324306087,0.15373742054529507,tugur,Hucho taimen
128.63304806658283,0.08974144789450907,0.17707834366359035,tugur,Hucho taimen
